accommodation_type,author,author_type,deal_type,district,finish_type,floor,floors_count,heating_type,house_material_type,house_number,kitchen_meters,living_meters,location,object_type,phone,price,residential_complex,rooms_count,street,total_meters,underground,url,year_of_construction
flat,ID 97018021,homeowner,sale,Первомайский,-1,15,18,-1,-1,1/7,-1,"19,7 м²",Новосибирск,-1,79132029221,2350000,Берёзовое,1, Одоевского,19.7,Спортивная,https://novosibirsk.cian.ru/sale/flat/326533122/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2011
flat,Брусника,developer,sale,Дзержинский,Предчистовая,5,9,-1,-1,,-1,-1,Новосибирск,-1,79587381413,7960000,Город-на-озере ЖК,1,,27.55,Березовая Роща,https://novosibirsk.cian.ru/sale/flat/326670138/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2028
flat,Города Новосибирск,real_estate_agent,sale,Октябрьский,-1,13,17,-1,-1,12,4 м²,"16,3 м²",Новосибирск,-1,79831236186,4590000,Закаменский-12,1,Закаменский мкр,25.3,Березовая Роща,https://novosibirsk.cian.ru/sale/flat/326926570/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2021
flat,ПЛАНЕТА на Маркса,real_estate_agent,sale,Дзержинский,-1,1,3,-1,-1,40,3 м²,15 м²,Новосибирск,-1,79134722201,2650000,,1, Селезнева,19.0,Березовая Роща,https://novosibirsk.cian.ru/sale/flat/325681116/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,1947
flat,СМСС,developer,sale,Калининский,Черновая,16,23,-1,-1,,-1,-1,Новосибирск,-1,79586117355,4513500,Калининский квартал ЖК,1,,25.5,Маршала Покрышкина,https://novosibirsk.cian.ru/sale/flat/325989037/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2027
flat,METRAGE,real_estate_agent,sale,Дзержинский,-1,1,16,-1,-1,19,3 м²,"14,4 м²",Новосибирск,-1,79833123871,3400000,,-1, Авиастроителей,22.4,Березовая Роща,https://novosibirsk.cian.ru/sale/flat/321932021/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,-1
flat,ОЛИМП,real_estate_agent,sale,Первомайский,-1,17,17,-1,-1,22/3,-1,-1,Новосибирск,-1,79832503470,2070000,Берёзовое,1, Твардовского,19.2,Речной вокзал,https://novosibirsk.cian.ru/sale/flat/320808046/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,-1
flat,Брусника,developer,sale,Дзержинский,Предчистовая,6,14,-1,-1,,-1,-1,Новосибирск,-1,79587381413,6970000,Город-на-озере ЖК,1,,23.29,Березовая Роща,https://novosibirsk.cian.ru/sale/flat/325792148/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2028
flat,METRAGE,real_estate_agent,sale,Калининский,-1,2,12,-1,-1,12,5 м²,"13,4 м²",Новосибирск,-1,79833213670,3990000,Дежнёв,1, Имени генерал-майора А.Н. Рожкина,27.8,Заельцовская,https://novosibirsk.cian.ru/sale/flat/326377626/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2024
flat,МакроМир,real_estate_agent,sale,Первомайский,-1,2,17,-1,-1,22/5,3 м²,"11,2 м²",Новосибирск,-1,79137212601,2000000,Берёзовое,1, Твардовского,19.2,Речной вокзал,https://novosibirsk.cian.ru/sale/flat/326031896/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,-1
flat,СМСС,developer,sale,Калининский,Черновая,11,23,-1,-1,,-1,-1,Новосибирск,-1,79586117355,4554000,Калининский квартал ЖК,1,,25.3,Маршала Покрышкина,https://novosibirsk.cian.ru/sale/flat/325987779/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2027
flat,METRAGE,real_estate_agent,sale,Калининский,-1,17,20,-1,-1,1/3,3 м²,17 м²,Новосибирск,-1,79833213670,5100000,Олеко Дундича,1, Олеко Дундича,29.0,Березовая Роща,https://novosibirsk.cian.ru/sale/flat/325247720/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,-1
flat,ID 138826067,homeowner,sale,Ленинский,-1,8,13,-1,-1,69/1,5 м²,18 м²,Новосибирск,-1,79833209898,4500000,,1,69/1,25.8,Студенческая,https://novosibirsk.cian.ru/sale/flat/326261154/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2011
flat,Новый Мир,developer,sale,Заельцовский,Предчистовая,9,24,-1,-1,,"2,3 м²","11,8 м²",Новосибирск,-1,79587500021,5950000,Оскар ЖК,1,,27.3,Заельцовская,https://novosibirsk.cian.ru/sale/flat/324880901/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2028
flat,Города Новосибирск,real_estate_agent,sale,Калининский,-1,19,19,-1,-1,1,5 м²,17 м²,Новосибирск,-1,79831236186,4790000,Мкрн. Родники,1, Гребенщикова,30.9,Заельцовская,https://novosibirsk.cian.ru/sale/flat/323710692/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2016
flat,КвартЛаб,real_estate_agent,sale,Калининский,-1,2,4,-1,-1,96/3,-1,20 м²,Новосибирск,-1,79830062365,2226000,,-1, Богдана Хмельницкого,24.4,Заельцовская,https://novosibirsk.cian.ru/sale/flat/312803662/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2024
flat,Брусника,developer,sale,Дзержинский,Предчистовая,7,9,-1,-1,,5 м²,"13,3 м²",Новосибирск,-1,79587381413,7550000,Город-на-озере ЖК,1,,31.71,Березовая Роща,https://novosibirsk.cian.ru/sale/flat/324800935/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2028
flat,Ново-Николаевскъ,real_estate_agent,sale,Октябрьский,-1,10,17,-1,-1,16,-1,"17,5 м²",Новосибирск,-1,79833211296,5050000,Закаменский-16,1,Закаменский мкр,24.0,Березовая Роща,https://novosibirsk.cian.ru/sale/flat/325717891/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2024
flat,ПЛАНЕТА на Маркса,real_estate_agent,sale,Центральный,-1,1,5,-1,-1,17А,-1,12 м²,Новосибирск,-1,79836296461,2550000,,1, Гоголя,14.0,Сибирская,https://novosibirsk.cian.ru/sale/flat/324783650/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,1960
flat,СМСС,developer,sale,Калининский,Черновая,3,23,-1,-1,,-1,-1,Новосибирск,-1,79586117355,5076000,Калининский квартал ЖК,1,,28.2,Маршала Покрышкина,https://novosibirsk.cian.ru/sale/flat/325987915/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2027
flat,Города Новосибирск,real_estate_agent,sale,Первомайский,-1,6,17,-1,-1,5,5 м²,"13,4 м²",Новосибирск,-1,79831236186,4250000,Виноград,1, Виноградова,23.4,Речной вокзал,https://novosibirsk.cian.ru/sale/flat/325980929/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2020
flat,Владис Центральное,real_estate_agent,sale,Кировский,-1,4,17,-1,-1,9,4 м²,"10,7 м²",Новосибирск,-1,79130134356,2400000,Тулинское,1, Виктора Уса,19.7,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/327028126/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2012
flat,Брусника,developer,sale,Заельцовский,Предчистовая,9,9,-1,-1,1/4,-1,-1,Новосибирск,-1,79586110308,7640000,Лебедевский,1,Лебедевский кв-л,33.6,Заельцовская,https://novosibirsk.cian.ru/sale/flat/323145186/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2028
flat,Новактив,real_estate_agent,sale,Ленинский,-1,11,25,-1,-1,12,5 м²,22 м²,Новосибирск,-1,79134730923,6700000,Город у воды Ясный Берег,1, Ясный Берег,36.0,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/323797893/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2020
flat,Инна Владимировна,realtor,sale,Кировский,-1,1,3,-1,-1,5,1 м²,"21,8 м²",Новосибирск,-1,79139531785,2150000,,1,Рубежная ,25.1,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/320190349/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2013
flat,Брусника,developer,sale,Дзержинский,Предчистовая,9,14,-1,-1,,5 м²,10 м²,Новосибирск,-1,79587381413,7760000,Город-на-озере ЖК,1,,26.84,Березовая Роща,https://novosibirsk.cian.ru/sale/flat/324800937/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2028
flat,METRAGE,real_estate_agent,sale,Центральный,-1,10,20,-1,-1,40/1,5 м²,"20,1 м²",Новосибирск,-1,79137218713,7000000,Дом у метро Покрышкина,1, Гоголя,30.1,Маршала Покрышкина,https://novosibirsk.cian.ru/sale/flat/324631787/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,-1
flat,DOMaSTROY,real_estate_agent,sale,Кировский,-1,2,3,-1,-1,18/2,5 м²,"14,9 м²",Новосибирск,-1,79139531032,2200000,,1,Рубежная ,24.9,Студенческая,https://novosibirsk.cian.ru/sale/flat/322683913/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,-1
flat,Новый Мир,developer,sale,Железнодорожный,Предчистовая,18,24,-1,-1,6/1,-1,"56,2 м²",Новосибирск,-1,79587376561,16360000,Беринг,1, Прибрежная,99.4,Площадь Гарина-Михайловского,https://novosibirsk.cian.ru/sale/flat/324817879/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2025
flat,Города Новосибирск,real_estate_agent,sale,Дзержинский,-1,13,17,-1,-1,195/5,5 м²,"14,6 м²",Новосибирск,-1,79831236186,6190000,Галактика,1, Николая Островского,24.6,Березовая Роща,https://novosibirsk.cian.ru/sale/flat/326719005/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2024
flat,100 Домов-Новосибирск,real_estate_agent,sale,Ленинский,-1,2,3,-1,-1,22,2 м²,12 м²,Новосибирск,-1,79137714984,2350000,,1,переулок 1-й Пархоменко,18.0,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/323282641/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,1937
flat,Дом-Строй,developer,sale,Ленинский,Предчистовая,27,30,-1,-1,,-1,"14,7 м²",Новосибирск,-1,79586118781,6203000,Горская лагуна ЖК,1,,23.2,Студенческая,https://novosibirsk.cian.ru/sale/flat/324797266/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2026
flat,Города Новосибирск,real_estate_agent,sale,Заельцовский,-1,7,25,-1,-1,236,"3,5 м²","8,1 м²",Новосибирск,-1,79831236186,5900000,Клубный комплекс ,1,Красный проспект,21.3,Заельцовская,https://novosibirsk.cian.ru/sale/flat/326655395/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2025
flat,Этажи,real_estate_agent,sale,Первомайский,-1,8,18,-1,-1,1/11,4 м²,-1,Новосибирск,-1,79137272420,2400000,Берёзовое,1, Одоевского,21.2,Речной вокзал,https://novosibirsk.cian.ru/sale/flat/319716264/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2012
flat,Брусника,developer,sale,Дзержинский,Предчистовая,5,9,-1,-1,,10 м²,"11,4 м²",Новосибирск,-1,79587381413,9340000,Город-на-озере ЖК,1,,33.49,Березовая Роща,https://novosibirsk.cian.ru/sale/flat/324800997/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2028
flat,ДомианНСК,real_estate_agent,sale,Кировский,-1,3,3,-1,-1,1,5 м²,"17,8 м²",Новосибирск,-1,79133711830,2490000,Художник,1, Николая Грицюка,27.8,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/326028144/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,-1
flat,Владис Центральное,real_estate_agent,sale,Ленинский,-1,3,17,-1,-1,102/1,5 м²,"10,9 м²",Новосибирск,-1,79130134356,2590000,Радуга Сибири,1, Забалуева,21.3,Студенческая,https://novosibirsk.cian.ru/sale/flat/325081700/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2023
flat,Страна Девелопмент,developer,sale,Заельцовский,"Предчистовая, чистовая",6,29,-1,Панельный,109/2,"5,1 м²","18,5 м²",Новосибирск,-1,79587384464,9152941,Страна Береговая,1,Сухарная ,32.69,Площадь Гарина-Михайловского,https://novosibirsk.cian.ru/sale/flat/326552999/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2026
flat,МакроМир,real_estate_agent,sale,Кировский,-1,10,10,-1,-1,16,"4,4 м²",-1,Новосибирск,-1,79138905274,3800000,Просторный,1, Николая Сотникова,38.2,Студенческая,https://novosibirsk.cian.ru/sale/flat/326307754/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,-1
flat,Право собственности,real_estate_agent,sale,Кировский,-1,3,5,-1,-1,44,-1,-1,Новосибирск,-1,79139337416,1700000,,1, Зорге,19.0,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/325614157/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,1975
flat,Брусника,developer,sale,Октябрьский,Предчистовая,11,17,-1,Монолитно-кирпичный,,5 м²,"5,5 м²",Новосибирск,-1,79587382827,4700000,мкр. Европейский Берег,1,,19.9,Речной вокзал,https://novosibirsk.cian.ru/sale/flat/327078239/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2026
flat,Центр Недвижимости,real_estate_agent,sale,Советский,-1,4,5,-1,-1,5/1,-1,-1,Новосибирск,-1,79833026411,1850000,,1, Российская,18.1,,https://novosibirsk.cian.ru/sale/flat/326678150/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,1970
flat,Владис Центральное,real_estate_agent,sale,Первомайский,-1,7,17,-1,-1,1/2,3 м²,"11,5 м²",Новосибирск,-1,79130134356,2300000,Берёзовое,1, Одоевского,19.5,Спортивная,https://novosibirsk.cian.ru/sale/flat/326980515/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2011
flat,Страна Девелопмент,developer,sale,Заельцовский,"Предчистовая, чистовая",3,29,-1,Панельный,109/2,"6,6 м²","11,2 м²",Новосибирск,-1,79587384464,7341176,Страна Береговая,1,Сухарная ,25.2,Площадь Гарина-Михайловского,https://novosibirsk.cian.ru/sale/flat/326553000/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2026
flat,Этажи,real_estate_agent,sale,Кировский,-1,2,10,-1,-1,26,"4,4 м²",-1,Новосибирск,-1,79833213671,3400000,Просторный,1, Виктора Шевелева,38.5,Студенческая,https://novosibirsk.cian.ru/sale/flat/327055867/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2017
flat,МакроМир,real_estate_agent,sale,Первомайский,-1,4,17,-1,-1,22/6,3 м²,-1,Новосибирск,-1,79830515691,2100000,Берёзовое,1, Твардовского,19.2,Речной вокзал,https://novosibirsk.cian.ru/sale/flat/326268889/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2014
flat,Брусника,developer,sale,Октябрьский,Предчистовая,6,8,-1,Монолитно-кирпичный,,5 м²,"9,9 м²",Новосибирск,-1,79587382827,5830000,мкр. Европейский Берег,1,,24.2,Речной вокзал,https://novosibirsk.cian.ru/sale/flat/327078237/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2026
flat,Центр Недвижимости,real_estate_agent,sale,Советский,-1,6,9,-1,-1,9,-1,"18,9 м²",Новосибирск,-1,79833026411,4500000,,1, 2-я Миргородская,23.9,,https://novosibirsk.cian.ru/sale/flat/325859934/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2014
flat,Дельта,real_estate_agent,sale,Первомайский,-1,4,17,-1,-1,22/1,"3,7 м²","9,4 м²",Новосибирск,-1,79138938412,2200000,Берёзовое,1, Твардовского,20.2,Речной вокзал,https://novosibirsk.cian.ru/sale/flat/321724064/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,-1
flat,Новый Мир,developer,sale,Железнодорожный,Предчистовая,11,16,-1,-1,,"5,1 м²","14,3 м²",Новосибирск,-1,79587376561,6850000,Беринг,1,Беринг жилой квартал,28.17,Площадь Гарина-Михайловского,https://novosibirsk.cian.ru/sale/flat/324817938/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2028
flat,Этажи,real_estate_agent,sale,Октябрьский,-1,6,10,-1,-1,9,10 м²,-1,Новосибирск,-1,79130102469,3450000,Плющихинский,1, Плющихинская,32.5,Золотая Нива,https://novosibirsk.cian.ru/sale/flat/325645120/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2024
flat,Novostroy-expert,real_estate_agent,sale,Заельцовский,Предчистовая,3,6,-1,Монолитный,88,-1,-1,Новосибирск,-1,79942524100,4250000,Авиатор,1, Аэропорт,18.6,Заельцовская,https://novosibirsk.cian.ru/sale/flat/325959215/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2024
flat,СМСС,developer,sale,Дзержинский,Предчистовая,8,29,-1,-1,21,-1,-1,Новосибирск,-1,79586108583,5800000,Менделеев,1,Закаменский мкр,27.4,Березовая Роща,https://novosibirsk.cian.ru/sale/flat/325987403/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2025
flat,ЛЕГКО,real_estate_agent,sale,Кировский,-1,3,17,-1,-1,22/1,5 м²,14 м²,Новосибирск,-1,79836299906,3500000,Семейный квартал,1,Бронная ,26.0,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/325290813/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2025
flat,МЕЗОНИН,real_estate_agent,sale,Первомайский,-1,15,19,-1,-1,22,-1,12 м²,Новосибирск,-1,79833135052,2150000,Берёзовое,1, Твардовского,18.1,Спортивная,https://novosibirsk.cian.ru/sale/flat/326924188/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2013
flat,Новый Мир,developer,sale,Железнодорожный,Предчистовая,10,24,-1,-1,,"5,1 м²","14,1 м²",Новосибирск,-1,79587376561,6275000,Беринг,1,Беринг жилой квартал,26.06,Площадь Гарина-Михайловского,https://novosibirsk.cian.ru/sale/flat/324818010/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2028
flat,Всем Квартиру,real_estate_agent,sale,Кировский,-1,1,3,-1,-1,12/1,4 м²,18 м²,Новосибирск,-1,79134726032,2550000,,1,Рубежная ,27.4,Студенческая,https://novosibirsk.cian.ru/sale/flat/303321985/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,-1
flat,Владис Центральное,real_estate_agent,sale,Кировский,-1,1,17,-1,-1,13,5 м²,13 м²,Новосибирск,-1,79130134356,2350000,,1, Виктора Уса,30.8,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/325542667/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2014
flat,Дом-Строй,developer,sale,Ленинский,Предчистовая,7,14,-1,-1,,-1,"16,7 м²",Новосибирск,-1,79586118781,6852000,Горская лагуна ЖК,1,,28.19,Студенческая,https://novosibirsk.cian.ru/sale/flat/324414769/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2026
flat,Этажи,real_estate_agent,sale,Ленинский,-1,7,18,-1,-1,37,"1,8 м²","10,4 м²",Новосибирск,-1,79137809421,2800000,Чистая слобода,1,Спортивная ,18.2,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/322570870/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2024
flat,РайоныКварталы,real_estate_agent,sale,Ленинский,-1,6,16,-1,-1,3/1,-1,-1,Новосибирск,-1,79137724801,3100000,,1, Невельского,25.3,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/326987851/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2024
flat,Новый Мир,developer,sale,Железнодорожный,Предчистовая,13,24,-1,-1,,"5,1 м²","14,9 м²",Новосибирск,-1,79587376561,6600000,Беринг,1,Беринг жилой квартал,31.67,Площадь Гарина-Михайловского,https://novosibirsk.cian.ru/sale/flat/324818013/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2028
flat,Вертикаль,real_estate_agent,sale,Дзержинский,-1,11,16,-1,-1,67,7 м²,20 м²,Новосибирск,-1,79139835639,4250000,Дом по ул. Есенина,1, Есенина,30.7,Золотая Нива,https://novosibirsk.cian.ru/sale/flat/318745596/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2015
flat,НИЦ,real_estate_agent,sale,Кировский,-1,12,18,-1,-1,13,-1,-1,Новосибирск,-1,79138924512,2850000,,1, Виктора Уса,27.6,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/326077766/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2013
flat,Брусника,developer,sale,Дзержинский,Предчистовая,8,9,-1,-1,,10 м²,"11,4 м²",Новосибирск,-1,79587381413,8890000,Город-на-озере ЖК,1,,30.55,Березовая Роща,https://novosibirsk.cian.ru/sale/flat/325308758/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2028
flat,METRAGE,real_estate_agent,sale,Кировский,-1,1,3,-1,-1,1,4 м²,"14,5 м²",Новосибирск,-1,79137829610,2400000,Художник,1, Николая Грицюка,23.5,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/320726792/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,-1
flat,PRO Недвижимость,real_estate_agent,sale,Первомайский,-1,2,17,-1,-1,,-1,"10,5 м²",Новосибирск,-1,79833027992,2000000,,1,Березовое жилмассив,19.1,Речной вокзал,https://novosibirsk.cian.ru/sale/flat/326944879/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,-1
flat,Страна Девелопмент,developer,sale,Заельцовский,"Предчистовая, чистовая",4,29,-1,Панельный,109/2,"5,6 м²","16,6 м²",Новосибирск,-1,79587384464,11435294,Страна Береговая,1,Сухарная ,34.9,Площадь Гарина-Михайловского,https://novosibirsk.cian.ru/sale/flat/325663620/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2026
flat,METRAGE,real_estate_agent,sale,Первомайский,-1,1,17,-1,-1,1/8,-1,9 м²,Новосибирск,-1,79139836318,3150000,Берёзовое,1, Одоевского,20.2,Речной вокзал,https://novosibirsk.cian.ru/sale/flat/327043425/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,-1
flat,Домофонд,real_estate_agent,sale,Октябрьский,Без отделки,5,10,-1,-1,143/9,-1,-1,Новосибирск,-1,79137213772,2800000,Плющихинский,1, В. Высоцкого,39.02,Золотая Нива,https://novosibirsk.cian.ru/sale/flat/301501475/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2025
flat,Страна Девелопмент,developer,sale,Октябрьский,"Предчистовая, чистовая",9,9,-1,Монолитный,с23,"7,4 м²","15,5 м²",Новосибирск,-1,79635612025,9305882,Страна.Тополёвая,1,Тополевая ,32.23,Березовая Роща,https://novosibirsk.cian.ru/sale/flat/325663893/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2027
flat,Домолегион,real_estate_agent,sale,Октябрьский,-1,3,10,-1,-1,43,-1,-1,Новосибирск,-1,79137952247,3400000,Плющихинский,1, Татьяны Снежиной,33.0,Золотая Нива,https://novosibirsk.cian.ru/sale/flat/325666292/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2011
flat,ПАЛИТРА,real_estate_agent,sale,Октябрьский,-1,6,10,-1,-1,13/2,"2,7 м²",26 м²,Новосибирск,-1,79130634510,3550000,Плющихинский,1, Виталия Потылицына,39.0,Золотая Нива,https://novosibirsk.cian.ru/sale/flat/324803925/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2017
flat,Дом-Строй,developer,sale,Ленинский,Предчистовая,12,14,-1,-1,,-1,"16,1 м²",Новосибирск,-1,79586118781,7303000,Горская лагуна ЖК,1,,28.8,Студенческая,https://novosibirsk.cian.ru/sale/flat/321861661/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2026
